site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303305,2025-09-21,2025-09-14,3100.0,34,ecoli,173.18944880182949,300.52614299427813,0.2323600973236009,1,False,2.879336425966338,2.33062319692685,2926.8105511981703,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
241118182046,2025-05-04,2025-04-27,333.33,28,ecoli,18.06066085177557,4.859180830116099,0.2323600973236009,1,False,2.8645019593481043,4.044118725419594,315.2693391482244,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303396,2026-04-05,2026-03-29,355.56,14,ecoli,19.490441007872096,7.016781145289274,0.2323600973236009,1,False,2.856544043540921,3.7949655407789353,336.0695589921279,spring,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118181609,2025-06-07,2025-05-31,500.0,35,ecoli,28.819641855952035,33.32999999999998,0.2323600973236009,1,False,2.821438802016504,2.6805864936152646,471.18035814404794,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303346,2025-04-08,2025-04-01,783.33,14,ecoli,45.785129481697815,33.38692310301063,0.2323600973236009,1,False,2.8192644438424304,3.1271535004038804,737.5448705183022,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118182520,2025-04-06,2025-03-30,1166.67,35,ecoli,68.81150461381729,100.00000000000004,0.2323600973236009,1,False,2.816966770487169,2.447645072380018,1097.8584953861828,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
241118182407,2025-06-12,2025-06-05,1100.0,39,ecoli,65.16302530335263,100.00000000000004,0.2323600973236009,1,False,2.811852359976627,2.38885361988142,1034.8369746966473,summer,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303354,2025-11-19,2025-11-12,73.83,35,oxygen_saturation,76.62296323590768,76.25583333333334,0.2600848028948708,1,False,2.7929632359076777,2.425833333333344,2.7929632359076777,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303346,2026-01-04,2025-12-28,250.0,46,ecoli,14.949767389437696,17.1584257850355,0.2323600973236009,1,False,2.7560086937415873,2.626318255562134,235.05023261056232,winter,2026,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033105,2025-03-22,2025-03-15,11.4,28,conductivity,187.50601067366117,159.80111939908883,0.1805929919137466,1,False,2.721433420631623,2.5624718455467637,176.10601067366116,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182520,2026-02-19,2026-02-12,22.98,46,turbidity_reported,0.5900749387963481,0.5900749387963481,0.1368007605853848,1,False,2.713439003159416,2.713439003159416,22.389925061203652,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303384,2025-05-19,2025-05-12,300.0,23,ecoli,19.106291597116925,9.835990906160765,0.2323600973236009,1,False,2.706077483880815,3.3242371797511145,280.8937084028831,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118182150,2025-06-12,2025-06-05,1133.33,39,ecoli,76.7673131966532,133.32999999999996,0.2323600973236009,1,False,2.6800762432040877,2.133497988169954,1056.5626868033467,summer,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303393,2025-05-22,2025-05-15,14.5,11,water_temperature,11.843719602601784,10.166666666666666,0.0731097106468222,1,False,2.6562803973982163,4.333333333333334,2.6562803973982163,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033105,2026-01-27,2026-01-20,11.0,42,conductivity,168.10283143409302,154.12195975450314,0.1805929919137466,1,False,2.645600350116465,2.559304994863026,157.10283143409302,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303394,2025-08-10,2025-08-03,333.33,23,ecoli,22.76270937826744,6.0094470785099805,0.2323600973236009,1,False,2.644011010089136,3.864869707322918,310.5672906217325,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118183308,2026-01-30,2026-01-23,217.1,28,turbidity_reported,14.799462016454449,14.799462016454449,0.1565239509652111,1,False,2.6249777833458534,2.6249777833458534,202.30053798354555,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183206,2025-07-12,2025-07-05,6833.33,71,other_coliform,499.9999999999999,499.9999999999999,0.1142552447355538,1,False,2.613107618396451,2.613107618396451,6333.33,summer,2025,61–120 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303346,2025-10-25,2025-10-18,1133.33,10,ecoli,83.00102833596036,93.8698421180218,0.2323600973236009,1,False,2.6029684063817298,2.4812915780343516,1050.3289716640395,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118182616,2026-03-06,2026-02-27,2333.33,35,ecoli,172.9665769797884,174.8051462557339,0.2323600973236009,1,False,2.596616996586409,2.586103932849749,2160.3634230202115,spring,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-10-12,2025-10-05,800.0,31,ecoli,59.12490205097186,5.500000000000001,0.2323600973236009,1,False,2.5894368477336265,4.814058770166768,740.8750979490281,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303321,2025-01-30,2025-01-23,7.0,33,dissolved_oxygen,9.51415410047152,9.09,0.1148075752554805,1,False,2.5141541004715204,2.09,2.5141541004715204,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5306103,2025-10-27,2025-10-20,72.36,33,oxygen_saturation,74.85861903902601,72.67545454545456,0.3619090480021842,1,False,2.4986190390260106,0.315454545454557,2.4986190390260106,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303318,2025-10-11,2025-10-04,1733.33,22,ecoli,143.8371031073629,264.28141048036287,0.2323600973236009,1,False,2.482766766594409,1.8775852617699584,1589.492896892637,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
241118181741,2025-04-05,2025-03-29,366.67,35,ecoli,31.019744732261007,66.67000000000003,0.2323600973236009,1,False,2.4408330613249003,1.6925428464832972,335.650255267739,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033105,2025-10-22,2025-10-15,15.3,35,conductivity,184.39416669122605,110.99999999999996,0.1805929919137466,1,False,2.4313190814541854,1.9273337634823773,169.09416669122604,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
