site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303397,2026-02-07,2026-01-31,55.0,14,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.1883055810005099,1,True,2.9267394020670396,2.9267394020670396,53.0,winter,2026,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303320,2025-12-06,2025-11-29,55.0,34,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.3790376603492163,1,True,2.9267394020670396,2.9267394020670396,53.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-03-22,2025-03-15,11.4,28,conductivity,187.50601067366117,159.80111939908883,0.1805929919137466,1,False,2.721433420631623,2.5624718455467637,176.10601067366116,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182520,2026-02-19,2026-02-12,22.98,46,turbidity_reported,0.5900749387963481,0.5900749387963481,0.1368007605853848,1,False,2.713439003159416,2.713439003159416,22.389925061203652,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033100,2025-12-20,2025-12-13,1400.0,65,hardness,95.10545612970462,100.00000000000004,0.335195968331986,1,True,2.6794954564291977,2.629821029495747,1304.8945438702954,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2026-01-27,2026-01-20,11.0,42,conductivity,168.10283143409302,154.12195975450314,0.1805929919137466,1,False,2.645600350116465,2.559304994863026,157.10283143409302,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-10-22,2025-10-15,1360.0,35,alkalinity,95.71527562590764,89.44888059008804,0.2620716390236415,1,True,2.6442036434239116,2.7111901668946166,1264.2847243740923,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183308,2026-01-30,2026-01-23,217.1,28,turbidity_reported,14.799462016454449,14.799462016454449,0.1565239509652111,1,False,2.6249777833458534,2.6249777833458534,202.30053798354555,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303321,2025-08-25,2025-08-18,40.0,32,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.1965673622661057,1,True,2.614959778036198,2.614959778036198,38.0,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303393,2025-02-17,2025-02-10,40.0,18,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.5551944273789395,1,True,2.614959778036198,2.614959778036198,38.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303393,2025-01-17,2025-01-10,35.0,14,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.3768012698977835,1,True,2.484906649788,2.484906649788,33.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303361,2025-01-23,2025-01-16,585.0,53,alkalinity,49.48958308883414,55.84428840005271,0.4025136634366128,1,True,2.4515527500420395,2.3330040423247542,535.5104169111659,winter,2025,36–60 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-10-22,2025-10-15,15.3,35,conductivity,184.39416669122605,110.99999999999996,0.1805929919137466,1,False,2.4313190814541854,1.9273337634823773,169.09416669122604,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303396,2025-01-12,2025-01-05,10.0,28,turbidity_legacy,0.0,0.0,0.096026754522614,1,False,2.3978952727983707,2.3978952727983707,10.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
251221150343,2025-06-16,2025-06-09,169.0,120,turbidity_reported,14.715028069621845,14.715028069621845,0.436230027246661,1,True,2.381180980634853,2.381180980634853,154.28497193037816,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-12-20,2025-12-13,700.0,65,alkalinity,65.92951643518155,178.2651667223724,0.3132679884661335,1,True,2.3488678148819275,1.3636417990150314,634.0704835648185,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182616,2026-01-30,2026-01-23,114.65,119,turbidity_reported,10.174826332900844,10.174826332900844,0.2107867088712293,1,True,2.336904788978587,2.336904788978587,104.47517366709916,winter,2026,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033103,2025-04-29,2025-04-22,690.0,25,hardness,66.00006695623667,56.73687058306726,0.1854636490657603,1,True,2.3334462050303877,2.4822438494244734,623.9999330437633,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-08-19,2025-08-12,18.8,35,conductivity,194.7135147942416,116.00000000000004,0.1805929919137466,1,False,2.290969993051085,1.7764919970972666,175.9135147942416,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-09-17,2025-09-10,18.3,29,conductivity,186.4098342138716,113.47270417003352,0.1805929919137466,1,False,2.273192749645056,1.780231307135586,168.10983421387158,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183206,2025-04-04,2025-03-28,3.9,35,turbidity_reported,46.10000000000001,46.10000000000001,0.1057223785180507,0,False,2.2630377959057912,2.2630377959057912,42.20000000000001,spring,2025,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
251221144813,2025-02-16,2025-02-09,44.2,113,turbidity_reported,3.785963063447308,3.785963063447308,0.3507093227382808,1,True,2.245409815006669,2.245409815006669,40.4140369365527,winter,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303392,2026-01-04,2025-12-28,80.0,44,turbidity_reported,8.000000000000002,8.000000000000002,0.0338672507963649,1,False,2.1972245773362196,2.1972245773362196,72.0,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-04-15,2025-04-08,14.5,24,conductivity,138.25353727485975,116.00000000000004,0.1805929919137466,1,False,2.1954562568924834,2.0213339108725554,123.75353727485975,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303397,2025-03-09,2025-03-02,30.8,17,conductivity,237.93778426767184,299.99999999999966,0.1805929919137466,1,False,2.0167369113853955,2.2476439749627435,207.13778426767183,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303397,2025-11-15,2025-11-08,29.9,55,conductivity,224.2717948347224,283.99999999999983,0.1805929919137466,1,False,1.9865514663266945,2.2217329963649504,194.3717948347224,autumn,2025,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303398,2025-10-19,2025-10-12,580.0,11,hardness,92.67267813787264,101.55531592050856,0.1693202845201163,1,True,1.824944198837792,1.734348436324436,487.32732186212735,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033104,2025-04-01,2025-03-25,540.0,30,alkalinity,89.8875806233983,70.0,0.1333927796191526,1,False,1.7837959138026394,2.0307394018051657,450.1124193766017,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033102,2025-04-29,2025-04-22,450.0,25,hardness,79.21649662687648,70.0,0.1793998691173042,1,True,1.7267381521802871,1.8487874624613632,370.7835033731235,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-08-19,2025-08-12,400.0,35,hardness,84.96899906431196,80.00000000000003,0.243513420437353,1,True,1.5399746720365242,1.5995122726341302,315.03100093568804,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-05-04,2025-04-27,580.0,18,alkalinity,126.76531411990184,92.89355675444396,0.5129681863140105,1,True,1.514555659258666,1.8225889911555635,453.23468588009814,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182150,2025-10-03,2025-09-26,8.21,20,ph,6.7,6.7,0.3602764166915004,1,True,1.5100000000000007,1.5100000000000007,1.5100000000000007,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118181741,2026-01-03,2025-12-27,6.13,92,ph,7.63,7.63,0.1456753139792084,1,True,1.5,1.5,1.5,winter,2026,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183404,2025-10-03,2025-09-26,8.17,20,ph,6.74,6.74,0.3590473417667734,1,True,1.4299999999999997,1.4299999999999997,1.4299999999999997,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182150,2025-09-13,2025-09-06,6.7,42,ph,8.0,8.0,0.1451076060292163,1,True,1.2999999999999998,1.2999999999999998,1.2999999999999998,autumn,2025,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303394,2025-11-28,2025-11-21,360.0,47,alkalinity,98.36984258202042,104.57202980211686,0.3945867821820609,1,True,1.290029285250867,1.229484491442923,261.6301574179796,autumn,2025,36–60 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
241118181741,2026-03-07,2026-02-28,7.77,35,ph,6.5,6.5,0.4412899439696178,0,True,1.2699999999999996,1.2699999999999996,1.2699999999999996,spring,2026,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
5303398,2025-11-16,2025-11-09,285.0,28,alkalinity,79.4033465585421,126.06230953487386,0.1458713403118004,1,False,1.2689360116387167,0.8113142184201223,205.5966534414579,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033101,2025-11-14,2025-11-07,30.0,35,hardness,103.53596176247416,92.23103323696492,0.4827715931506558,1,True,1.2155439394183052,1.101093436428191,73.53596176247416,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-05-04,2025-04-27,270.0,18,hardness,79.71913889404465,69.29224708315991,0.154542144602786,1,True,1.211143112705364,1.3494573114568258,190.28086110595535,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303394,2025-10-03,2025-09-26,345.0,19,alkalinity,102.0800302761573,108.56598351856672,0.1922073120632933,1,True,1.210933095558457,1.1499118180744894,242.9199697238427,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-08-13,2025-08-06,450.0,30,alkalinity,135.15319429353602,155.0,0.7175402692142399,1,True,1.1976866590823958,1.0616113322531415,314.846805706464,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183308,2025-10-03,2025-09-26,7.92,20,ph,6.73,6.73,0.3557574239551164,0,True,1.1899999999999995,1.1899999999999995,1.1899999999999995,autumn,2025,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
241118183404,2025-09-13,2025-09-06,6.74,42,ph,7.9,7.9,0.15113065771425,1,True,1.1600000000000001,1.1600000000000001,1.1600000000000001,autumn,2025,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
251204213047,2026-02-28,2026-02-21,7.0,57,ph,8.14,8.14,0.3032069793760543,0,True,1.1400000000000006,1.1400000000000006,1.1400000000000006,winter,2026,36–60 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
