target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
oxygen_saturation,53033103,6,1,31.423469025525645,27.188333333333336,-15.577033135017377,31.423469025525645,13.41889782552146,5,5,0,1,1.0,0.8333333333333334,True
oxygen_saturation,53033104,7,1,4.065490811421676,4.3114285714285705,5.704321802678135,4.065490811421676,0.4876543210615308,2,0,2,1,0.0,0.0,True
oxygen_saturation,53033105,13,1,10.97992981723089,7.69576923076923,-42.67488392623478,10.97992981723089,-3.765148407579436,13,13,0,0,1.0,1.0,True
oxygen_saturation,5303318,11,1,7.6369050237274045,7.011475479066388,-8.920084603138273,7.6369050237274045,-6.586755500685957,0,0,0,0,,,True
oxygen_saturation,5303319,4,1,6.327005135746795,5.85677272727273,-8.028865560795516,6.327005135746795,-5.102412316326877,0,0,0,0,,,True
oxygen_saturation,5303320,14,1,3.5113474280289694,4.251135642135646,17.40213148632981,3.5113474280289694,2.1654087085664235,0,0,0,0,,,True
oxygen_saturation,5303321,14,1,15.319528420792809,22.894655122655127,33.086878405809415,15.319528420792809,6.274990805081198,11,10,1,3,0.9090909090909091,0.7692307692307693,True
oxygen_saturation,5303322,2,1,3.0252872506691446,3.8635714285714116,21.697131615144738,3.0252872506691446,3.0252872506691446,0,0,0,0,,,True
oxygen_saturation,5303335,5,1,3.416827206686304,3.981142857142862,14.174714917453358,3.416827206686304,3.416827206686304,0,0,0,0,,,True
oxygen_saturation,5303346,15,1,5.266803670781602,5.350933699633705,1.572249509611043,5.266803670781602,0.7921812279860887,3,0,3,0,0.0,,True
oxygen_saturation,5303354,13,1,4.208290024010446,4.851176739926742,13.252180870367635,4.208290024010446,-0.6703272426549949,5,1,4,1,0.2,0.5,True
oxygen_saturation,5303360,11,1,6.342354908157378,7.002651515151516,9.429236990666547,6.342354908157378,2.741402289484708,11,11,0,0,1.0,1.0,True
oxygen_saturation,5303361,11,1,4.461751661286889,6.724022727272731,33.64460766633103,4.461751661286889,3.0677207437400487,3,0,3,0,0.0,,True
oxygen_saturation,5303371,11,1,6.7883668722029284,6.329318181818182,-7.2527352425325375,6.7883668722029284,-6.7883668722029284,0,0,0,0,,,True
oxygen_saturation,5303382,2,1,2.467738737600442,3.764374999999994,34.444928106247495,2.467738737600442,-1.9118192894574264,0,0,0,0,,,True
oxygen_saturation,5303383,11,1,2.5301381629955233,2.7486818181818156,7.9508531595284255,2.5301381629955233,0.8268406561822546,0,0,0,0,,,True
oxygen_saturation,5303384,11,1,13.07403303066618,15.839681818181822,17.46025468984515,13.07403303066618,4.514099483238109,7,6,1,1,0.8571428571428571,0.8571428571428571,True
oxygen_saturation,5303386,4,1,3.7658966209911497,3.7337500000000006,-0.8609741142591008,3.7658966209911497,0.9679946151556535,0,0,0,0,,,True
oxygen_saturation,5303387,9,1,11.837590490203482,8.507833333333334,-39.13754567598661,11.837590490203482,-5.864125261713976,9,9,0,0,1.0,1.0,True
oxygen_saturation,5303391,20,1,7.804756751979352,7.187345238095236,-8.590258202870752,7.804756751979352,-1.5074473890643922,0,0,0,0,,,False
oxygen_saturation,5303392,27,1,3.6137128548920114,3.771906084656083,4.193986441168124,3.6137128548920114,0.0726843205019455,0,0,0,0,,,False
oxygen_saturation,5303393,26,1,4.72411789179422,4.236474282661784,-11.510600008317507,4.72411789179422,-1.6427851043909172,0,0,0,0,,,False
