csv_line,target,reported,candidate_formula,matches_candidate_formula
1238,alkalinity,85.0,85.0,True
1239,alkalinity,70.0,70.0,True
1240,alkalinity,70.0,70.0,True
1241,alkalinity,90.0,90.0,True
1242,alkalinity,90.0,90.0,True
1243,alkalinity,105.0,105.0,True
1244,alkalinity,75.0,75.0,True
1245,alkalinity,65.0,65.0,True
1246,alkalinity,85.0,85.0,True
1247,alkalinity,70.0,70.0,True
1248,alkalinity,50.0,50.0,True
1249,alkalinity,60.0,60.0,True
1250,alkalinity,90.0,90.0,True
1251,alkalinity,95.0,95.0,True
1252,alkalinity,70.0,70.0,True
1253,alkalinity,80.0,80.0,True
1254,alkalinity,65.0,65.0,True
1255,alkalinity,100.0,100.0,True
1256,alkalinity,70.0,70.0,True
1257,alkalinity,90.0,90.0,True
1258,alkalinity,105.0,105.0,True
1259,alkalinity,120.0,120.0,True
1260,alkalinity,115.0,115.0,True
1261,alkalinity,110.0,110.0,True
1262,alkalinity,80.0,80.0,True
1263,alkalinity,70.0,70.0,True
1264,alkalinity,75.0,75.0,True
1265,alkalinity,110.0,110.0,True
1266,alkalinity,90.0,90.0,True
1267,alkalinity,65.0,65.0,True
1268,alkalinity,70.0,70.0,True
1269,alkalinity,85.0,85.0,True
1270,alkalinity,75.0,75.0,True
1271,alkalinity,105.0,105.0,True
1272,alkalinity,95.0,95.0,True
1273,alkalinity,85.0,85.0,True
1274,alkalinity,115.0,115.0,True
1275,alkalinity,100.0,100.0,True
1276,alkalinity,125.0,125.0,True
1277,alkalinity,115.0,115.0,True
1278,alkalinity,85.0,85.0,True
1279,alkalinity,80.0,80.0,True
1281,alkalinity,95.0,95.0,True
1282,alkalinity,105.0,105.0,True
1283,alkalinity,115.0,115.0,True
1284,alkalinity,130.0,130.0,True
1285,alkalinity,80.0,80.0,True
1286,alkalinity,80.0,80.0,True
1287,alkalinity,80.0,80.0,True
1288,alkalinity,60.0,60.0,True
1289,alkalinity,70.0,70.0,True
1290,alkalinity,85.0,85.0,True
1291,alkalinity,90.0,90.0,True
1292,alkalinity,90.0,90.0,True
1293,alkalinity,95.0,95.0,True
1294,alkalinity,100.0,100.0,True
1295,alkalinity,75.0,75.0,True
1296,alkalinity,60.0,60.0,True
1297,alkalinity,90.0,90.0,True
1298,alkalinity,85.0,85.0,True
1299,alkalinity,95.0,95.0,True
1300,alkalinity,90.0,90.0,True
1301,alkalinity,105.0,105.0,True
1302,alkalinity,115.0,115.0,True
1303,alkalinity,120.0,120.0,True
1304,alkalinity,105.0,105.0,True
1305,alkalinity,90.0,90.0,True
1306,alkalinity,70.0,70.0,True
1307,alkalinity,75.0,75.0,True
1308,alkalinity,80.0,80.0,True
1309,alkalinity,65.0,65.0,True
1310,alkalinity,80.0,80.0,True
1335,alkalinity,80.0,80.0,True
1336,alkalinity,75.0,75.0,True
1337,alkalinity,65.0,65.0,True
1338,alkalinity,60.0,60.0,True
1339,alkalinity,100.0,100.0,True
1340,alkalinity,100.0,100.0,True
1341,alkalinity,115.0,115.0,True
1342,alkalinity,100.0,100.0,True
1343,alkalinity,65.0,65.0,True
1344,alkalinity,75.0,75.0,True
1345,alkalinity,75.0,75.0,True
1346,alkalinity,60.0,60.0,True
1347,alkalinity,60.0,60.0,True
1348,alkalinity,75.0,75.0,True
1349,alkalinity,75.0,75.0,True
1350,alkalinity,75.0,75.0,True
1351,alkalinity,90.0,90.0,True
1352,alkalinity,85.0,85.0,True
1353,alkalinity,90.0,90.0,True
1354,alkalinity,85.0,85.0,True
1355,alkalinity,70.0,70.0,True
1356,alkalinity,65.0,65.0,True
1396,alkalinity,70.0,70.0,True
1397,alkalinity,240.0,240.0,True
1398,alkalinity,360.0,360.0,True
1399,alkalinity,270.0,270.0,True
1400,alkalinity,610.0,610.0,True
1401,alkalinity,540.0,540.0,True
1402,alkalinity,540.0,540.0,True
1403,alkalinity,225.0,225.0,True
1404,alkalinity,35.0,35.0,True
1405,alkalinity,115.0,115.0,True
1406,alkalinity,100.0,100.0,True
1407,alkalinity,105.0,105.0,True
1408,alkalinity,120.0,120.0,True
1409,alkalinity,55.0,55.0,True
1410,alkalinity,70.0,70.0,True
1411,alkalinity,85.0,85.0,True
1412,alkalinity,105.0,105.0,True
1413,alkalinity,45.0,45.0,True
1414,alkalinity,100.0,100.0,True
1415,alkalinity,225.0,225.0,True
1416,alkalinity,105.0,105.0,True
1417,alkalinity,80.0,80.0,True
1418,alkalinity,65.0,65.0,True
1422,alkalinity,90.0,90.0,True
1432,alkalinity,80.0,80.0,True
1433,alkalinity,70.0,70.0,True
1434,alkalinity,70.0,70.0,True
1435,alkalinity,105.0,105.0,True
1436,alkalinity,115.0,115.0,True
1437,alkalinity,135.0,135.0,True
1438,alkalinity,140.0,140.0,True
1439,alkalinity,155.0,155.0,True
1440,alkalinity,0.0,0.0,True
1441,alkalinity,155.0,155.0,True
1442,alkalinity,275.0,275.0,True
1443,alkalinity,250.0,250.0,True
1444,alkalinity,280.0,280.0,True
1445,alkalinity,255.0,255.0,True
1446,alkalinity,60.0,60.0,True
1447,alkalinity,165.0,165.0,True
1448,alkalinity,190.0,190.0,True
1449,alkalinity,215.0,215.0,True
1450,alkalinity,65.0,65.0,True
1455,alkalinity,100.0,100.0,True
1456,alkalinity,50.0,50.0,True
1457,alkalinity,60.0,60.0,True
1458,alkalinity,55.0,55.0,True
1459,alkalinity,60.0,60.0,True
1460,alkalinity,65.0,65.0,True
1461,alkalinity,60.0,60.0,True
1462,alkalinity,95.0,95.0,True
1463,alkalinity,55.0,55.0,True
1464,alkalinity,100.0,100.0,True
1465,alkalinity,80.0,80.0,True
1466,alkalinity,80.0,80.0,True
1467,alkalinity,65.0,65.0,True
1468,alkalinity,55.0,55.0,True
1469,alkalinity,50.0,50.0,True
1470,alkalinity,85.0,85.0,True
1471,alkalinity,85.0,85.0,True
