site,target,planned_sample_date,issue_date,status,predicted,experimental_tail_probability,experimental_flag,target_age_days,selected_model,risk_model
241118182245,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182407,ecoli,2026-04-20,2026-04-13,eligible,16.90172120704037,0.23236009732360097,False,43.0,forest,constant_prevalence
241118182407,other_coliform,2026-04-20,2026-04-13,eligible,166.66999999999993,0.022538311490511782,False,43.0,last_observation,forest
241118182407,water_temperature,2026-04-20,2026-04-13,eligible,10.967723179074392,0.019907781027200266,False,60.0,forest,forest
241118182407,dissolved_oxygen,2026-04-20,2026-04-13,eligible,10.747007220107854,0.003426946153261943,False,60.0,forest,forest
241118182407,oxygen_saturation,2026-04-20,2026-04-13,eligible,95.01075477523693,0.05641426419454864,False,60.0,forest,forest
241118182407,ph,2026-04-20,2026-04-13,eligible,7.69,0.2474479769150549,True,60.0,last_observation,forest
241118182407,conductivity,2026-04-20,2026-04-13,eligible,247.09045452693,0.18059299191374664,False,106.0,forest,constant_prevalence
241118182407,nitrate,2026-04-20,2026-04-13,eligible,1.5,0.33890027949653034,True,60.0,site_median,forest
241118182407,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182407,turbidity_reported,2026-04-20,2026-04-13,eligible,0.8518492991684105,0.15197702690783613,False,60.0,site_seasonal,forest
241118182407,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182407,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182407,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182407,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182407,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182520,ecoli,2026-04-20,2026-04-13,eligible,76.80250943161033,0.23236009732360097,False,43.0,forest,constant_prevalence
241118182520,other_coliform,2026-04-20,2026-04-13,eligible,299.9999999999999,0.019776226161321724,False,43.0,last_observation,forest
241118182520,water_temperature,2026-04-20,2026-04-13,eligible,10.570928860678416,0.01842299084083981,False,60.0,forest,forest
241118182520,dissolved_oxygen,2026-04-20,2026-04-13,eligible,9.747377836765525,0.01128284516003814,False,60.0,forest,forest
241118182520,oxygen_saturation,2026-04-20,2026-04-13,eligible,88.17899357440875,0.049516236851014944,False,60.0,forest,forest
